Code	Time	Theme	Title	Authors
"20-1219"	2020	"Education & Workforce Development"	'REU Site: Research Experiences in Computing-Enabled Proactive Countermeasures to Disasters for Public Health and Safety'	"Sunho Lim,Victor Sheng,Eonsuk Shin,Yuanlin Zhang"
"24-0106"	2023	"Education & Workforce Development"	'REU-Site: CCF-DMS-REU-DCL: Interdisciplinary Frontier of Computational, Mathematical, and Statistical Research for Computer Science Students'	"Lin Chen,Tianxi Ji,Tara Thaer Salman,Lu Wei"
"24-0344"	2023	"Education & Workforce Development"	'Research and Workforce Development in the area of Cybersecurity'	"Tommy Dang,Abdul Serwadda"
"22-0622"	2022	"Healthcare / Biomedical"	'SCC-IRG Track 2: Scalable Framework for Smart and Connected Community Health'	"Tommy Dang,Bashir Iqbal Morshed"
"21-0500"	2021	"Healthcare / Biomedical"	'SCC-IRG Track 2: Smart-Health Integrated Framework and Topology (SHIFT)'	"Tommy Dang,Bashir Iqbal Morshed"
"20-0012"	2019	"Healthcare / Biomedical"	'SCC-PG: Enhancing Asthma Management and Infrastructure through Sensing, Computation, and Community Engagement'	"Tommy Dang,Rattikorn Hewett,Abdul Serwadda"
"20-0938"	2020	"Cybersecurity"	'SaTC: CORE: Medium: Towards Secure Lightweight Physical Unclonable Functions for Resource-Constrained Internet-of-Things'	"Zhenkai Zhang,Yu Zhuang"
"23-0613"	2023	""	'SaTC: CORE: Small: A Hierarchal Privacy-Preserving Robust Blockchain-based Federated Learning Paradigm'	"Tianxi Ji,Tara Thaer Salman"
"24-0389"	2024	"Cybersecurity"	'SaTC: CORE: Small: Rearchitecting Internet File Sharing to Counter Deepfakes'	"Tara Thaer Salman,Abdul Serwadda"
"21-0526"	2021	"Manufacturing / Advanced Manufacturing"	'Simulation and Machine Learning to Optimize Sequencing in General Assembly'	"Lin Chen,Yong Chen"
"20-0368"	2019	"Sensors / IoT / Edge"	'Smart Home Real-Time Multi-Abnormal Detection with A Radio Sensing Network'	"Fang Jin,Victor Sheng"
"19-0864"	2019	"Networking & Communications"	'Software-Defined Networking for Research on Defending Ubiquitous Cyberattacks and Enhancing Mobile Network Capabilities in 5G Era'	"Sunho Lim,Eonsuk Shin"
"23-1170"	2023	"Healthcare / Biomedical"	'To validate candidate biomarkers differentiating racial disparities in triple-negative breast cancer (TNBC)'	"Victor Sheng,Yu Zhuang"
"ae"	2025	"Quantum"	'Quantum implementation for STEM Education'	"Lu Wei, Tommy Dang"
"ae"	2026	"Quantum"	'Quantum implementation for STEM Education'	"Lu Wei, Tommy Dang"
"ae"	2026	"Quantum"	'Quantum implementation for STEM Education'	"Fang Jin"
"ae"	2026	"Quantum"	'Quantum implementation for STEM Education'	"Zhenkai Zhang"
"ae"	2026	"Quantum"	'Quantum implementation for STEM Education'	"Zhenkai Zhang"
"ae"	2026	"Quantum"	'Quantum implementation'	"Zhenkai Zhang, Tommy Dang"
"ae"	2026	"Quantum"	'Quantum implementation'	"Zhenkai Zhang, Tommy Dang"
"23444"	2028	"Education & Workforce Development"	'Parameterized and Approximation Algorithms for Integer Programming'	"Yuanlin Zhang, Victor Sheng, Abdul Serwadda"
"12235"	2026	"Quantum"	'Quantum implementation'	"Zhenkai Zhang, Tommy Dang, Tara Thaer Salman"
"123545"	2026	"Education & Workforce Development"	'Career: Fine-grained exact and approximation algorithms via additive number theory'	"Victor Sheng, Yuanlin Zhang, Abdul Serwadda"
